model,display,option_order,evidence_chunk_order,document_rank_order,image_set_order_screened,mixed_modality_order,mean5
claude-opus-4-7,Claude Opus 4.7,0.125,0.23759507829977627,0.107093265447813,0.1252136752136752,0.25533333333333336,0.17004707045891956
claude-sonnet-4-6,Claude Sonnet 4.6,0.1975,0.28441834451901565,0.3282352112534337,0.2111111111111111,0.30033333333333334,0.26431960004337873
gpt-5-5,ChatGPT 5.5,0.0935,0.22748322147651007,0.25926969401205435,0.1457264957264957,0.24066666666666667,0.19332921557634536
gpt-5-4-mini,ChatGPT 5.4-mini,0.2295,0.3963982102908278,0.2740508940160792,0.3055555555555556,0.36233333333333334,0.3135675986391592
gemini-3.1-pro-preview,Gemini-Pro 3.1,0.11249999999999999,0.1278140703517588,0.07528872432337125,0.10256410256410256,0.251,0.1338333794478465
gemini-3-flash-preview,Gemini-Flash 3,0.17,0.20297738693467338,0.12714155573187574,0.14102564102564102,0.264,0.18102891673843802
qwen3-5-0-8b,Qwen3.5-VL 0.8B,0.7889999999999999,0.7237807606263982,0.4116322711127658,0.3482905982905983,0.8353333333333334,0.6216073926726191
qwen3-5-2b,Qwen3.5-VL 2B,0.6699999999999999,0.566744966442953,0.4115266192407152,0.5756410256410256,0.7146666666666667,0.5877158555982721
qwen3-5-4b,Qwen3.5-VL 4B,0.4555,0.4714765100671141,0.22696789189297967,0.3277777777777778,0.5286666666666666,0.40207776928090766
qwen3-5-9b,Qwen3.5-VL 9B,0.3965,0.4095973154362416,0.28318978094845193,0.202991452991453,0.52,0.36245570987522935
qwen3-5-27b,Qwen3.5-VL 27B,0.273,0.33610738255033556,0.28911131682480906,0.26495726495726496,0.37766666666666665,0.3081685261998152
internvl3-5-4b,InternVL3.5 4B,0.45299999999999996,0.5031319910514541,0.284050089049435,0.2311965811965812,0.653,0.42487573225949404
internvl3-5-8b,InternVL3.5 8B,0.4355,0.463165548098434,0.1946987915438254,0.3252136752136752,0.5666666666666667,0.39704893630452026
internvl3-5-14b,InternVL3.5 14B,0.3975,0.4212975391498881,0.19212792932392864,0.25598290598290596,0.6110000000000001,0.37558167489134453
internvl3-5-38b,InternVL3.5 38B,0.28600000000000003,0.4231096196868009,0.3677213406719459,0.25384615384615383,0.6,0.3861354228409802
kimi-vl-a3b-instruct,Kimi-VL-A3B-Instruct,0.4505,0.4613758389261745,0.28158487870158877,0.1829059829059829,0.587,0.39267334010674926
medgemma-4b-it,MedGemma 4B-IT,0.5675,0.5834116331096197,0.33549248865500136,0.1905982905982906,0.7693333333333333,0.48926714913924896
medgemma-27b-it,MedGemma 27B-IT,0.43299999999999994,0.46140939597315433,0.25149421933328636,0.19273504273504274,0.5066666666666667,0.36906106494163
